Unnamed: 0,fsq_id,category_id,category_name,chains,distance,latitude,longitude,location_country,location_cross_street,location_formatted_address,location_locality,location_postcode,location_region,location_timezone,name
0,4b65b9f1f964a520fefb2ae3,13031,Burger Joint,"[{'id': 'ab4a3530-d68a-012e-5619-003048cad9da', 'name': ""McDonald's""}]",62,43.665065,-79.319,CA,btw Queen St. E & Eastern Ave.,"31 Woodward Ave (btw Queen St. E & Eastern Ave.), Toronto ON M9N 2J3",Toronto,M9N 2J3,ON,America/Toronto,McDonald's
11,4afb4141f964a520681c22e3,12009,Education,[],546,43.674116,-79.440446,CA,Westmount Ave,"Regal Rd (Westmount Ave), Toronto ON M6H 2J6",Toronto,M6H 2J6,ON,America/Toronto,Regal Road Junior Public School
14,4bd5d73e637ba5931b21f770,17029,Convenience Store,[],223,43.672605,-79.441139,CA,Dufferin,"1395 Davenport Rd (Dufferin), Toronto ON M6H 2H6",Toronto,M6H 2H6,ON,America/Toronto,QQ Convenience
15,4b52325ef964a5201b6f27e3,11152,Recording Studio,[],339,43.668935,-79.44373,CA,at Lightbourn Ave.,"330 Geary Ave (at Lightbourn Ave.), Toronto ON M6H 2C7",Toronto,M6H 2C7,ON,America/Toronto,Rehearsal Factory
17,4d6c1a4fdf3d6ea8e4aad926,15007,Dentist,[],178,43.6711,-79.447913,CA,St George and Dupont,"186 Dupont St (St George and Dupont), Toronto ON M5R 2E6",Toronto,M5R 2E6,ON,America/Toronto,Dentistry on Dupont
21,5c1c3a0d340a58002cd86fc9,13199,Indian Restaurant,[],57,43.6664,-79.316826,CA,Coxwel,"1610 Queen St E (Coxwel), Toronto ON M4L 1G2",Toronto,M4L 1G2,ON,America/Toronto,Butter Chicken Roti
22,4afec89ef964a520623022e3,13049,Diner,[],68,43.666394,-79.316918,CA,Coxwell Ave,"1606 Queen St E (Coxwell Ave), Toronto ON M4L 1G2",Toronto,M4L 1G2,ON,America/Toronto,Tulip Restaurant
23,4e1d9859b0fb93d2d06393c1,11134,Pet Grooming Service,[],64,43.666131,-79.318233,CA,Coxwell,"1582 Queen St E (Coxwell), Toronto ON M4L 1G1",Toronto,M4L 1G1,ON,America/Toronto,Canine Clips
24,51b7de7a498e159c1779f34a,13097,Caribbean Restaurant,[],66,43.666394,-79.316918,CA,Coxwell Ave.,"1610 Queen St E (Coxwell Ave.), Toronto ON M4L 1G2",Toronto,M4L 1G2,ON,America/Toronto,Beryl's Pepper Pot
26,4b65b9f1f964a520fefb2ae3,13031,Burger Joint,"[{'id': 'ab4a3530-d68a-012e-5619-003048cad9da', 'name': ""McDonald's""}]",172,43.665065,-79.319,CA,btw Queen St. E & Eastern Ave.,"31 Woodward Ave (btw Queen St. E & Eastern Ave.), Toronto ON M9N 2J3",Toronto,M9N 2J3,ON,America/Toronto,McDonald's
27,4d5d327e6f6d6ea8920f6dec,15000,Health and Medicine,[],24,43.652893,-79.376404,CA,Church Street,"61 Queen St E (Church Street), Toronto ON M5C 2T2",Toronto,M5C 2T2,ON,America/Toronto,St. Michael's Health Centre
28,4c18cadefe5a76b0dd800215,15016,Medical Center,[],33,43.652907,-79.37622,CA,Church,"61 Queen St E (Church), Toronto ON M5C 2T2",Toronto,M5C 2T2,ON,America/Toronto,St Michael's Clinic
31,4ad4c064f964a5206ff820e3,15014,Hospital,[],106,43.653687,-79.37784,CA,at Queen St E,"30 Bond St (at Queen St E), Toronto ON M5B 1W8",Toronto,M5B 1W8,ON,America/Toronto,St Michael's Hospital
