,name,rating,review_count,price,distance,category,latitude,longitude
0,Descendant Detroit Style Pizza,4.5,443,$$,1048.1269215111784,,43.665269,-79.319796
1,Lake Inez,4.5,93,$$$,794.6619550133811,,43.665269,-79.319796
2,Maha's,4.0,587,$$,1005.190034713692,,43.665269,-79.319796
3,McDonald's,2.5,24,$,32.41673666608915,,43.665269,-79.319796
4,Tea N Bannock,4.5,44,$$,895.556531489122,,43.665269,-79.319796
5,Casa Di Giorgios,4.0,75,$$,408.71572448842034,,43.665269,-79.319796
6,The Wren,4.0,219,$$,2018.2310206159766,,43.665269,-79.319796
7,Ascari,4.0,128,$$$,1300.7755920016452,,43.665269,-79.319796
8,Leslie Jones,4.0,76,$$,1003.9901183084847,,43.665269,-79.319796
9,Sala Modern Thai Kitchen & Bar,4.5,190,$$,2057.931170365517,,43.665269,-79.319796
10,Lahore Tikka House,3.5,544,$$,787.4737977905058,,43.665269,-79.319796
11,CrowdedHouse,4.5,63,$$,1156.9709844715494,,43.665269,-79.319796
12,Yaya Greek Bistro,4.0,83,$$,994.9676130216748,,43.665269,-79.319796
13,The Burger's Priest,3.5,506,$$,374.2380726403347,,43.665269,-79.319796
14,Le Conciliabule,4.5,13,,903.6090778135728,,43.665269,-79.319796
15,Completo,4.5,172,$,1184.0329034478234,,43.665269,-79.319796
16,Isabella's Mochi Donut Boutique,4.5,134,$$,1914.336004857943,,43.665269,-79.319796
17,Pantheon Restaurant,4.0,343,$$,2860.2160887233063,,43.665269,-79.319796
18,O Sushi,3.5,59,$$,277.56958241445363,,43.665269,-79.319796
19,Madrina Bar y Tapas,4.0,139,$$,3644.7377061077304,,43.665269,-79.319796
20,Agio,4.5,189,$$,646.4712110381079,,43.67142,-79.445947
21,Rush Hour,4.5,46,$$,440.38079151577574,,43.67142,-79.445947
22,Famiglia Baldassarre,4.5,72,$$,888.6585807335229,,43.67142,-79.445947
23,Sugo,4.5,264,$$,1498.6629509091422,,43.67142,-79.445947
24,Antler Kitchen & Bar,4.5,289,$$$,2710.7106532970333,,43.67142,-79.445947
25,Tre Mari Bakery,4.5,92,$,600.1521333713055,,43.67142,-79.445947
26,Café Polonez,4.5,285,$$,2929.8317995499438,,43.67142,-79.445947
27,Le Baratin,4.5,129,$$,2527.311264571672,,43.67142,-79.445947
28,CANO Restaurant,4.5,68,$$,915.1775649252512,,43.67142,-79.445947
29,Barista & Chef,4.5,52,$$,1124.5364570370355,,43.67142,-79.445947
30,La Banane,4.5,154,$$$$,3230.3221783372487,,43.67142,-79.445947
31,Imm Thai Kitchen,4.5,154,$$,3031.838419444785,,43.67142,-79.445947
32,Barque Smokehouse,4.0,521,$$,2620.1766584001516,,43.67142,-79.445947
33,Emma's Country Kitchen,4.0,442,$$,1637.6039206262753,,43.67142,-79.445947
34,Rio 40 Restaurant,4.0,63,$$,671.4154156763975,,43.67142,-79.445947
35,Honest Weight,4.5,137,$$,1421.2817151749373,,43.67142,-79.445947
36,Good Behaviour,4.5,47,,913.5514325875646,,43.67142,-79.445947
37,Lamesa Filipino Kitchen,4.0,366,$$,2143.0883225847433,,43.67142,-79.445947
38,Pizza e Pazzi,4.0,88,$$,750.6863488907695,,43.67142,-79.445947
39,Bar Raval,4.0,319,$$$,3374.525172485111,,43.67142,-79.445947
40,Descendant Detroit Style Pizza,4.5,443,$$,1240.0653658680512,,43.666224,-79.317693
41,Lake Inez,4.5,93,$$$,726.2105823651318,,43.666224,-79.317693
42,Jaclyn's,4.5,15,,29.257262572899972,,43.666224,-79.317693
43,Casa Di Giorgios,4.0,75,$$,211.83409499769655,,43.666224,-79.317693
44,Tea N Bannock,4.5,44,$$,952.8708057256092,,43.666224,-79.317693
45,The Wren,4.0,219,$$,1983.149434887456,,43.666224,-79.317693
46,Maha's,4.0,587,$$,1066.4121359855728,,43.666224,-79.317693
47,Sala Modern Thai Kitchen & Bar,4.5,190,$$,2043.8982623409133,,43.666224,-79.317693
48,Lahore Tikka House,3.5,544,$$,802.997541789159,,43.666224,-79.317693
49,The Burger's Priest,3.5,506,$$,177.64325975172713,,43.666224,-79.317693
50,Sauvignon Bistro,4.0,41,$$$,887.4319123806576,,43.666224,-79.317693
51,Le Conciliabule,4.5,13,,956.3312077542579,,43.666224,-79.317693
52,Burrito Bandidos,3.5,57,$$,98.63227407420021,,43.666224,-79.317693
53,Isabella's Mochi Donut Boutique,4.5,134,$$,1720.6605499839143,,43.666224,-79.317693
54,Ascari,4.0,128,$$$,1493.5470863300934,,43.666224,-79.317693
55,Lazy Daisy's Cafe,4.0,152,$$,735.3127653824478,,43.666224,-79.317693
56,Yaya Greek Bistro,4.0,83,$$,1186.5674766895604,,43.666224,-79.317693
57,Pantheon Restaurant,4.0,343,$$,2964.0145950431897,,43.666224,-79.317693
58,Mezes,4.0,257,$$,2934.4335577064885,,43.666224,-79.317693
59,O Sushi,3.5,59,$$,78.63482295741966,,43.666224,-79.317693
60,Richmond Station,4.5,887,$$$,292.63892114847755,,43.653236,-79.376716
61,George Restaurant,4.5,295,$$$$,192.61427926784526,,43.653236,-79.376716
62,KINKA IZAKAYA ORIGINAL,4.0,1804,$$,818.3672641461987,,43.653236,-79.376716
63,Cactus Club Cafe,4.0,591,$$,624.5757406693901,,43.653236,-79.376716
64,Beerbistro,4.0,678,$$,420.6646117132331,,43.653236,-79.376716
65,The Carbon Bar,4.0,411,$$$,155.29815182838993,,43.653236,-79.376716
